quote,author,tags
“Be yourself; everyone else is already taken.”,Oscar Wilde,"attributed-no-source, be-yourself, gilbert-perreira, honesty, inspirational, misattributed-oscar-wilde, quote-investigator, attributed-no-source, best, life, love, misattributed-marilyn-monroe, mistakes, out-of-control, truth, worst, books, humor, attributed-no-source, human-nature, humor, infinity, philosophy, science, stupidity, universe, attributed-no-source, books, simile, soul, ataraxy, be-yourself, confidence, fitting-in, individuality, misattributed-dr-seuss, those-who-matter, dance, heaven, hurt, inspirational, life, love, sing, attributed-no-source, dreams, love, reality, sleep, humor, life, action, change, inspirational, misattributed-to-gandhi, philosophy, wish, life, charles-bayard-mitchell, attributed-no-source, friends, friendship, misattributed-albert-camus, lies, lying, memory, truth, friendship, friend, friendship, knowledge, love, life, attributed-no-source, enemies, forgiveness, strategy, darkness, drive-out, hate, inspirational, light, love, peace, carpe-diem, education, inspirational, learning, inspirational, love, inspirational, music, philosophy, intelligence, self-deprecation, accomplishment, attributed-no-source, be-yourself, conformity, individuality, humor, insanity, life, misattributed-ben-franklin, misattributed-mark-twain, misattributed-to-einstein, attributed-no-source, misattributed-marilyn-monroe, life, love, actions, disappointed, disappointment, dream, dreams, explore, misattributed-mark-twain, sail"
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,"attributed-no-source, best, life, love, misattributed-marilyn-monroe, mistakes, out-of-control, truth, worst"
"“So many books, so little time.”",Frank Zappa,"books, humor"
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,"attributed-no-source, human-nature, humor, infinity, philosophy, science, stupidity, universe"
“A room without books is like a body without a soul.”,Marcus Tullius Cicero,"attributed-no-source, books, simile, soul"
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,"ataraxy, be-yourself, confidence, fitting-in, individuality, misattributed-dr-seuss, those-who-matter"
"“You've gotta dance like there's nobody watching,",William W. Purkey,"dance, heaven, hurt, inspirational, life, love, sing"
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,"attributed-no-source, dreams, love, reality, sleep"
"“You only live once, but if you do it right, once is enough.”",Mae West,"humor, life"
“Be the change that you wish to see in the world.”,Mahatma Gandhi,"action, change, inspirational, misattributed-to-gandhi, philosophy, wish"
“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,life
"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,",charles-bayard-mitchell
“Don’t walk in front of me… I may not follow,Albert Camus,"attributed-no-source, friends, friendship, misattributed-albert-camus"
"“If you tell the truth, you don't have to remember anything.”",Mark Twain,"lies, lying, memory, truth"
"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”",Maya Angelou,
"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”","C.S. Lewis,",friendship
“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,"friend, friendship, knowledge, love"
"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde,life
“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,"attributed-no-source, enemies, forgiveness, strategy"
“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,"Martin Luther King Jr.,","darkness, drive-out, hate, inspirational, light, love, peace"
“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi,"carpe-diem, education, inspirational, learning"
“We accept the love we think we deserve.”,"Stephen Chbosky,","inspirational, love"
"“Without music, life would be a mistake.”","Friedrich Nietzsche,","inspirational, music, philosophy"
“I am so clever that sometimes I don't understand a single word of what I am saying.”,"Oscar Wilde,","intelligence, self-deprecation"
“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,Ralph Waldo Emerson,"accomplishment, attributed-no-source, be-yourself, conformity, individuality"
